,Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift
1146,1181,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben:
Aktive Beratung und Bedienung der anspruchsvollen Kundschaft
Gastgeber:in für einzigartiges Einkaufserlebnis
Bearbeiten von Kundenbestellungen und –reklamationen
Durführung von Degustationen
Kontrolle der Wareneingänge, Produkte und Daten
Warenbewirtschaftung und –präsentation (inkl. Promotionen)
Einhaltung und Durchsetzung der gesetzlichen und betrieblichen Hygienerichtlinie und Vorschriften (HACCP)

Profil:
Verkaufserfahrung im genannten Bereich von Vorteil
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Faszination für qualitativ hochwertige Lebensmittel
Kunden- und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die Einsatztage- und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca. 1-3 Wochen im Voraus kommuniziert.
Die Einsatztage- und Zeiten in diesem Einsatz sind fiktiv.
Sie müssen während der ganzen Zeit flexibel verfügbar sein (jeweils zwischen 06.30-16:00 / 11:00-20.30 Uhr inkl. Samstag- und Sonntagseinsätze).

Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15-30% auf das gesamte Sortiment inklusive Online Shop. Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt.",Detailhandel / Logistik,Zürich,8001,10087.8,27.6,1 Nov 2023,43
1147,1182,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben:
Aktive Beratung und Bedienung der anspruchsvollen Kundschaft
Gastgeber:in für einzigartiges Einkaufserlebnis
Bearbeiten von Kundenbestellungen und –reklamationen
Durführung von Degustationen
Kontrolle der Wareneingänge, Produkte und Daten
Warenbewirtschaftung und –präsentation (inkl. Promotionen)
Einhaltung und Durchsetzung der gesetzlichen und betrieblichen Hygienerichtlinie und Vorschriften (HACCP)

Profil:
Verkaufserfahrung im genannten Bereich von Vorteil
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Faszination für qualitativ hochwertige Lebensmittel
Kunden- und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die Einsatztage- und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca. 1-3 Wochen im Voraus kommuniziert.
Die Einsatztage- und Zeiten in diesem Einsatz sind fiktiv.
Sie müssen während der ganzen Zeit flexibel verfügbar sein (jeweils zwischen 06.30-16:00 / 11:00-20.30 Uhr inkl. Samstag- und Sonntagseinsätze).

Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15-30% auf das gesamte Sortiment inklusive Online Shop. Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt.",Detailhandel / Logistik,Zürich,8001,10087.8,27.6,1 Nov 2023,43
1148,1183,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben :
 Kontrolle der Wareneingängen , Produkten und Daten 
 Warenbewirtschaftung und – präsentation ( inkl . Promotionen )
 Einhaltung und Durchsetzung der gesetzlichen und betrieblichen Hygienerichtlinie und Vorschriften ( HACCP )

 Profil :
 Teamfähige , selbständige , flexible und belastbare Persönlichkeit 
 Gepflegtes Erscheinungsbild , einwandfreie Umgangsformen und positive Ausstrahlung 
 Kunden und Dienstleistungsorientiert 
 Sehr gute Deutschkenntnisse , weitere Sprachen von Vorteil 

 Die Einsatztage - und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca . 1 - 3 Wochen im Voraus kommuniziert .
 Die Einsatztage in diesem Einsatz sind fiktiv .
 Sie müssen während der ganzen Zeit flexibel verfügbar sein ( jeweils zwischen 07 : 00 - 17 : 00 Uhr inkl . Samstag - und Sonntagseinsätze ).

 Als Dankeschön für deine Leistung bei Globus hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15 - 30 % auf das gesamte Sortiment inklusive Online Shop . Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt .",Detailhandel / Logistik,Zürich,8001,10681.2,27.6,1 Nov 2023,43
1149,1184,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben:
Aktive Beratung und Bedienung der anspruchsvollen Kundschaft
Gastgeber:in für einzigartiges Einkaufserlebnis
Bearbeiten von Kundenbestellungen und –reklamationen
Durführung von Degustationen
Kontrolle der Wareneingänge, Produkte und Daten
Warenbewirtschaftung und –präsentation (inkl. Promotionen)
Einhaltung und Durchsetzung der gesetzlichen und betrieblichen Hygienerichtlinie und Vorschriften (HACCP)

Profil:
Verkaufserfahrung im genannten Bereich von Vorteil
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Faszination für qualitativ hochwertige Lebensmittel
Kunden- und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die Einsatztage- und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca. 1-3 Wochen im Voraus kommuniziert.
Die Einsatztage- und Zeiten in diesem Einsatz sind fiktiv.
Sie müssen während der ganzen Zeit flexibel verfügbar sein (jeweils zwischen 07:00-17:00 / 11:00-20.30 Uhr inkl. Samstag- und Sonntagseinsätze).

Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15-30% auf das gesamte Sortiment inklusive Online Shop. Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt.",Detailhandel / Logistik,Zürich,8001,10681.2,27.6,1 Nov 2023,43
1150,1185,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben :
 Aktive Beratung und Bedienung der anspruchsvollen Kundschaft 
 Gastgeber : in für einzigartiges Einkaufserlebnis 
 Bearbeiten von Kundenbestellungen und – reklamationen 
 Durführung von Degustationen 
 Kontrolle der Wareneingänge , Produkte und Daten 
 Warenbewirtschaftung und – präsentation ( inkl . Promotionen )
 Einhaltung und Durchsetzung der gesetzlichen und betrieblichen Hygienerichtlinie und Vorschriften ( HACCP )

 Profil :
 Verkaufserfahrung im genannten Bereich von Vorteil 
 Teamfähige , selbständige , flexible und belastbare Persönlichkeit 
 Gepflegtes Erscheinungsbild , einwandfreie Umgangsformen und positive Ausstrahlung 
 Faszination für qualitativ hochwertige Lebensmittel 
 Kunden - und Dienstleistungsorientiert 
 Sehr gute Deutschkenntnisse , weitere Sprachen von Vorteil 

 Die Einsatztage - und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca . 1 - 3 Wochen im Voraus kommuniziert .
 Die Einsatztage - und Zeiten in diesem Einsatz sind fiktiv .
 Sie müssen während der ganzen Zeit flexibel verfügbar sein ( jeweils zwischen 08 : 00 - 18 : 00 / 11 : 00 - 20 . 00 Uhr inkl . Samstag - und Sonntagseinsätze ).

 Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15 - 30 % auf das gesamte Sortiment inklusive Online Shop . Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt .",Detailhandel / Logistik,Zürich,8001,10681.2,27.6,1 Nov 2023,43
1151,1186,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben :
 Aktive Beratung und Bedienung der anspruchsvollen Kundschaft 
 Gastgeber : in für einzigartiges Einkaufserlebnis 
 Bearbeiten von Kundenbestellungen und – reklamationen 
 Durführung von Degustationen 
 Kontrolle der Wareneingänge , Produkte und Daten 
 Warenbewirtschaftung und – präsentation ( inkl . Promotionen )
 Einhaltung und Durchsetzung der gesetzlichen und betrieblichen Hygienerichtlinie und Vorschriften ( HACCP )

 Profil :
 Verkaufserfahrung im genannten Bereich von Vorteil 
 Teamfähige , selbständige , flexible und belastbare Persönlichkeit 
 Gepflegtes Erscheinungsbild , einwandfreie Umgangsformen und positive Ausstrahlung 
 Faszination für qualitativ hochwertige Lebensmittel 
 Kunden - und Dienstleistungsorientiert 
 Sehr gute Deutschkenntnisse , weitere Sprachen von Vorteil 

 Die Einsatztage - und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca . 1 - 3 Wochen im Voraus kommuniziert .
 Die Einsatztage - und Zeiten in diesem Einsatz sind fiktiv .
 Sie müssen während der ganzen Zeit flexibel verfügbar sein ( jeweils zwischen 08 : 00 - 18 : 00 / 11 : 00 - 20 . 00 Uhr inkl . Samstag - und Sonntagseinsätze ).

 Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15 - 30 % auf das gesamte Sortiment inklusive Online Shop . Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt .",Detailhandel / Logistik,Zürich,8001,10681.2,27.6,1 Nov 2023,43
1152,1187,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben :
 Aktive Beratung und Bedienung der anspruchsvollen Kundschaft 
 Gastgeber : in für einzigartiges Einkaufserlebnis 
 Bearbeiten von Kundenbestellungen und – reklamationen 
 Durführung von Degustationen 
 Kontrolle der Wareneingänge , Produkte und Daten 
 Warenbewirtschaftung und – präsentation ( inkl . Promotionen )
 Einhaltung und Durchsetzung der gesetzlichen und betrieblichen Hygienerichtlinie und Vorschriften ( HACCP )

 Profil :
 Verkaufserfahrung im genannten Bereich von Vorteil 
 Teamfähige , selbständige , flexible und belastbare Persönlichkeit 
 Gepflegtes Erscheinungsbild , einwandfreie Umgangsformen und positive Ausstrahlung 
 Faszination für qualitativ hochwertige Lebensmittel 
 Kunden - und Dienstleistungsorientiert 
 Sehr gute Deutschkenntnisse , weitere Sprachen von Vorteil 

 Die Einsatztage - und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca . 1 - 3 Wochen im Voraus kommuniziert .
 Die Einsatztage in diesem Einsatz sind fiktiv .
 Sie müssen während der ganzen Zeit flexibel verfügbar sein ( jeweils zwischen 08 : 00 - 12 : 00 Uhr , MO + MI sehr wichtig , 4 Tage in der Woche verfügbar inkl . Samstag - und Sonntagseinsätze ).

 Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15 - 30 % auf das gesamte Sortiment inklusive Online Shop . Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt .",Detailhandel / Logistik,Zürich,8001,4747.2,27.6,1 Nov 2023,43
1153,1188,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben :
 Aktive Beratung und Bedienung der anspruchsvollen Kundschaft 
 Gastgeber : in für einzigartiges Einkaufserlebnis 
 Bearbeiten von Kundenbestellungen und – reklamationen 
 Durführung von Degustationen 
 Kontrolle der Wareneingänge , Produkte und Daten 
 Warenbewirtschaftung und – präsentation ( inkl . Promotionen )
 Einhaltung und Durchsetzung der gesetzlichen und betrieblichen Hygienerichtlinie und Vorschriften ( HACCP )

 Profil :
 Verkaufserfahrung im genannten Bereich von Vorteil 
 Teamfähige , selbständige , flexible und belastbare Persönlichkeit 
 Gepflegtes Erscheinungsbild , einwandfreie Umgangsformen und positive Ausstrahlung 
 Faszination für qualitativ hochwertige Lebensmittel 
 Kunden - und Dienstleistungsorientiert 
 Sehr gute Deutschkenntnisse , weitere Sprachen von Vorteil 

 Die Einsatztage - und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca . 1 - 3 Wochen im Voraus kommuniziert .
 Die Einsatztage in diesem Einsatz sind fiktiv .
 Sie müssen während der ganzen Zeit flexibel verfügbar sein ( jeweils zwischen 08 : 00 - 12 : 00 Uhr , MO + MI sehr wichtig , 4 Tage in der Woche verfügbar inkl . Samstag - und Sonntagseinsätze ).

 Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15 - 30 % auf das gesamte Sortiment inklusive Online Shop . Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt .",Detailhandel / Logistik,Zürich,8001,4747.2,27.6,1 Nov 2023,43
1154,1189,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben:
Aktive Beratung und Bedienung der anspruchsvollen Kundschaft
Gastgeber:in für einzigartiges Einkaufserlebnis
Bedienung der Kasse
Bearbeiten von Kundenbestellungen, Reklamationen und Pluscard-Anträgen 
Warenbewirtschaftung und –präsentation (inkl. Promotionen)

Profil:
Verkaufserfahrung, im genannten Bereich von Vorteil
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Faszination für qualitativ hochwertige Produkte
Kunden- und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die Einsatztage- und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca. 1-3 Wochen im Voraus kommuniziert.
Die Einsatztage- und Zeiten in diesem Einsatz sind fiktiv.
Sie müssen während der ganzen Zeit flexibel verfügbar sein (jeweils zwischen 09:00-20:00 Uhr inkl. Samstag- und Sonntagseinsätze).

Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15-30% auf das gesamte Sortiment inklusive Online Shop. Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt.",Detailhandel / Logistik,Bern,3001,9494.4,27.6,1 Nov 2023,43
1155,1190,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt,"Verkaufsmitarbeiter/in mit Freude am Verkauf und am Umgang mit Kunden. Erste Erfahrungen im Verkauf sind von Vorteil, aber nicht zwingend.","Aufgaben:
Kontrolle der Wareneingänge
Warenbewirtschaftung und –präsentation (inkl. Promotionen)
Sicherstellung der Lagerordnung
Rayonpflege sowie der Bestände
Bearbeiten von Kundenbestellungen, Reservationen und Lieferantenretouren

Profil:
Verkaufserfahrung, im genannten Bereich von Vorteil
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Faszination für qualitativ hochwertige Produkte
Kunden- und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die Einsatztage- und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca. 1-3 Wochen im Voraus kommuniziert.
Die Einsatzzeiten in diesem Einsatz sind fiktiv.
Sie müssen während der ganzen Zeit flexibel verfügbar sein (jeweils zwischen 09:00-20:00 Uhr Montags, Mittwochs und Freitags).

Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15-30% auf das gesamte Sortiment inklusive Online Shop. Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt.",Detailhandel / Logistik,Bern,3001,4964.7,25.46,1 Nov 2023,26
1156,1191,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben:
Aktive Beratung und Bedienung der anspruchsvollen Kundschaft
Gastgeber:in für einzigartiges Einkaufserlebnis
Bedienung der Kasse
Bearbeiten von Kundenbestellungen, Reklamationen und Pluscard-Anträgen 
Warenbewirtschaftung und –präsentation (inkl. Promotionen)

Profil:
Verkaufserfahrung, im genannten Bereich von Vorteil
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Faszination für qualitativ hochwertige Produkte
Kunden- und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die Einsatztage- und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca. 1-3 Wochen im Voraus kommuniziert.
Die Einsatztage- und Zeiten in diesem Einsatz sind fiktiv.
Sie müssen während der ganzen Zeit flexibel verfügbar sein (jeweils zwischen 09:00-20:00 Uhr inkl. Samstag- und Sonntagseinsätze).

Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15-30% auf das gesamte Sortiment inklusive Online Shop. Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt.",Detailhandel / Logistik,Bern,3001,9494.4,27.6,1 Nov 2023,43
1157,1192,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben:
Aktive Beratung und Bedienung der anspruchsvollen Kundschaft
Gastgeber:in für einzigartiges Einkaufserlebnis
Bedienung der Kasse
Bearbeiten von Kundenbestellungen, Reklamationen und Pluscard-Anträgen 
Warenbewirtschaftung und –präsentation (inkl. Promotionen)

Profil:
Verkaufserfahrung, im genannten Bereich von Vorteil
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Faszination für qualitativ hochwertige Produkte
Kunden- und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die Einsatztage- und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca. 1-3 Wochen im Voraus kommuniziert.
Die Einsatztage- und Zeiten in diesem Einsatz sind fiktiv.
Sie müssen während der ganzen Zeit flexibel verfügbar sein (jeweils zwischen 09:00-20:00 Uhr inkl. Samstag- und Sonntagseinsätze).

Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15-30% auf das gesamte Sortiment inklusive Online Shop. Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt.",Detailhandel / Logistik,Bern,3001,9494.4,27.6,1 Nov 2023,43
1158,1193,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt,"Verkaufsmitarbeiter/in mit Freude am Verkauf und am Umgang mit Kunden. Erste Erfahrungen im Verkauf sind von Vorteil, aber nicht zwingend.","Aufgaben:
Kontrolle der Wareneingänge
Warenbewirtschaftung und –präsentation (inkl. Promotionen)
Sicherstellung der Lagerordnung
Rayonpflege sowie der Bestände
Bearbeiten von Kundenbestellungen, Reservationen und Lieferantenretouren

Profil:
Verkaufserfahrung, im genannten Bereich von Vorteil
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Faszination für qualitativ hochwertige Produkte
Kunden- und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die Einsatztage- und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca. 1-3 Wochen im Voraus kommuniziert.
Die Einsatzzeiten in diesem Einsatz sind fiktiv.
Sie müssen während der ganzen Zeit flexibel verfügbar sein (jeweils zwischen 09:00-20:00 Uhr Montag, Mittwoch und Freitag).

Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15-30% auf das gesamte Sortiment inklusive Online Shop. Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt.",Detailhandel / Logistik,Bern,3001,6517.76,25.46,1 Nov 2023,32
1159,1194,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt,"Verkaufsmitarbeiter/in mit Freude am Verkauf und am Umgang mit Kunden. Erste Erfahrungen im Verkauf sind von Vorteil, aber nicht zwingend.","Aufgaben:
Kontrolle der Wareneingänge
Warenbewirtschaftung und –präsentation (inkl. Promotionen)
Sicherstellung der Lagerordnung
Rayonpflege sowie der Bestände
Bearbeiten von Kundenbestellungen, Reservationen und Lieferantenretouren

Profil:
Verkaufserfahrung, im genannten Bereich von Vorteil
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Faszination für qualitativ hochwertige Produkte
Kunden- und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die Einsatztage- und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca. 1-3 Wochen im Voraus kommuniziert.
Die Einsatztage- und Zeiten in diesem Einsatz sind fiktiv.
Sie müssen während der ganzen Zeit flexibel verfügbar sein (jeweils zwischen 09:00-20:00 Uhr Montag bis Freitag).

Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15-30% auf das gesamte Sortiment inklusive Online Shop. Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt.",Detailhandel / Logistik,Bern,3001,10795.04,25.46,1 Nov 2023,53
1160,1195,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben :
 Aktive Beratung und Bedienung der anspruchsvollen Kundschaft 
 Gastgeber : in für einzigartiges Einkaufserlebnis 
 Bearbeiten von Kundenbestellungen und – reklamationen 
 Durführung von Degustationen 
 Kontrolle der Wareneingänge , Produkte und Daten 
 Warenbewirtschaftung und – präsentation ( inkl . Promotionen )
 Einhaltung und Durchsetzung der gesetzlichen und betrieblichen Hygienerichtlinie und Vorschriften ( HACCP )

 Profil :
 Verkaufserfahrung im genannten Bereich von Vorteil 
 Teamfähige , selbständige , flexible und belastbare Persönlichkeit 
 Gepflegtes Erscheinungsbild , einwandfreie Umgangsformen und positive Ausstrahlung 
 Faszination für qualitativ hochwertige Lebensmittel 
 Kunden - und Dienstleistungsorientiert 
 Sehr gute Deutschkenntnisse , weitere Sprachen von Vorteil 

 Die Einsatztage - und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca . 1 - 3 Wochen im Voraus kommuniziert .
 Die Einsatztage in diesem Einsatz sind fiktiv .
 Sie müssen während der ganzen Zeit flexibel verfügbar sein ( jeweils zwischen 10 : 00 - 20 . 00 Uhr inkl . Samstag - und Sonntagseinsätze ).

 Als Dankeschön für deine Leistung bei Globus hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15 - 30 % auf das gesamte Sortiment inklusive Online Shop . Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt .",Detailhandel / Logistik,Zürich,8001,10384.5,27.6,1 Nov 2023,43
1161,1196,Kassenmitarbeiter/in,,,"Aufgaben:
Bedienen der anspruchsvollen Kundschaft an der 
Eröffnung und Abrechnung der 
Bei Bedarf Einpacken der Einkäufe
Verhindern von Stockdifferenzen 
Erteilen von Auskünften an die Kund:innen

Profil:
Verkaufserfahrung, im genannten Bereich von Vorteil
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Faszination für qualitativ hochwertige Produkte
Kunden- und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die Einsatztage- und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca. 1-3 Wochen im Voraus kommuniziert.
Die Einsatztage in diesem Einsatz sind fiktiv.
Sie müssen während der ganzen Zeit flexibel verfügbar sein (jeweils zwischen 10:00-20.30 Uhr inkl. Samstag- und Sonntagseinsätze).

Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15-30% auf das gesamte Sortiment inklusive Online Shop. Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt.",Gastronomie / Hotel,Zürich,8001,10126.72,25.46,1 Nov 2023,43
1162,1197,Kassenmitarbeiter/in,,,"Aufgaben:
Bedienen der anspruchsvollen Kundschaft an der 
Eröffnung und Abrechnung der 
Bei Bedarf Einpacken der Einkäufe
Verhindern von Stockdifferenzen 
Erteilen von Auskünften an die Kund:innen

Profil:
Verkaufserfahrung, im genannten Bereich von Vorteil
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Faszination für qualitativ hochwertige Produkte
Kunden- und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die Einsatztage- und Zeiten sind noch nicht definiert und werden werden vom Auftraggeber laufend ca. 1-3 Wochen im Voraus kommuniziert.
Die Einsatztage in diesem Einsatz sind fiktiv.
Sie müssen während der ganzen Zeit flexibel verfügbar sein (jeweils zwischen 10:00-20.30 Uhr inkl. Samstag- und Sonntagseinsätze).

Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15-30% auf das gesamte Sortiment inklusive Online Shop. Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt.",Gastronomie / Hotel,Zürich,8001,10126.72,25.46,1 Nov 2023,43
